"","V1","V2","V3","V4"
"1",25076604,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"2",25072112,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"3",25042056,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"4",25030607,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"5",25028384,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"6",24973574,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"25",2266025,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"26",2265382,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"27",2265312,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"28",2265095,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"29",2264793,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"30",2264117,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"6307",45098498,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"6308",45098702,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"6309",45098782,564608,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla;","Micromonas pusilla CCMP1545"
"6310",45098872,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"6311",45098977,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"6312",45099065,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"7705",45355653,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"7706",45355984,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"7707",45355985,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"7708",45356265,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"7709",45356468,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"7710",45356618,564608,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla;","Micromonas pusilla CCMP1545"
"10267",45764676,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"10268",45764733,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"10269",45764751,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
