"","V1","V2","V3","V4"
"1",25076604,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"2",25072112,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"3",25042056,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"4",25030607,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"5",25028384,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"6",24973574,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"103",2234174,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"104",2233109,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"105",2232982,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"106",2232426,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"107",2232341,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"108",2231531,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"115",2230463,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"116",2230107,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"117",2229723,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"118",2229202,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"119",2228790,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"120",2228467,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"163",2207234,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"164",2207072,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"165",2207007,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"166",2206587,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"167",2205218,38833,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;","Micromonas pusilla"
"168",2204190,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"199",2189060,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"200",2187741,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"201",2186404,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
"202",2185489,38832,"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;Mamiellophyceae;Mamiellales;Mamiellaceae;","Micromonas"
