OGA_ID	sample_ID	station	depth	size fraction	latitude	longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
1	TARA_A100000393	TARA_025	SRF	[0.8-5µm]	39.3888	19.3905	TARA_025_SRF_0.8-5	TARA_025	ERS488497	ERR1711998|ERR1712022|ERR868356|ERR562619	SAMEA2619777	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000393	2009-11-23T09:12	-1273	18.319192	38.185333	27.633617	0.12688	0.0366	5	4.662947	217.809833		0.001387952	0.002326648	0.028696594	0.048666991		420.545	66.7304916381836	0.000091601399617503			11.461316			8.136645	0.00425	0.00525	0.03525	1.0505	30	54	41	37	174		0.276219	0.500541													39.3888	19.3905	0	autumn	late	0.369749	0	0
3	TARA_A100000396	TARA_025	DCM	[0.8-5µm]	39.3991	19.3997	TARA_025_DCM_0.8-5	TARA_025	ERS488515	ERR868418|ERR562373|ERR1711898|ERR1712167	SAMEA2619788	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000396	2009-11-23T13:52	-1274	15.181967	38.489083	28.626442	1.4705	0.06	50	0.04793	229.908917		0.001387952	0.002326648	0.028696594	0.048666991		420.545	72.959285736084	0.000136453396407887							0.1055		0.3595	1.354	31	47	44	39	785		0.276219	0.500541													39.3991	19.3997	0	autumn	late	0.369749	0	0
4	TARA_A100000398	TARA_025	DCM	[5-20µm]	39.3991	19.3997	TARA_025_DCM_5-20	TARA_025	ERS488516	ERR1712110|ERR562679|ERR1712184|ERR1700913	SAMEA2619789	SEQ-(500mL-or-15min)_W5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000398	2009-11-23T13:52	-1274	15.181967	38.489083	28.626442	1.4705	0.06	50	0.04793	229.908917		0.001387952	0.002326648	0.028696594	0.048666991		420.545	72.959285736084	0.000136453396407887							0.1055		0.3595	1.354	31	47	44	39	785		0.276219	0.500541													39.3991	19.3997	0	autumn	late	0.369749	0	0
7	TARA_A100000534	TARA_022	SRF	[0.8-5µm]	39.8386	17.4155	TARA_022_SRF_0.8-5	TARA_022	ERS488446	ERR1719224|ERR868403|ERR562364|ERR1719453	SAMEA2619745	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000534	2009-11-16T08:16	-1758	17.298758	37.839767	27.623392	0.95754	0.0856	5	9.740976	221.54775		0.001388038	0.001792418	0.026501298	0.063348597	4.11862	654.913	79.8147506713867	0.000316625737468712	0.004	0.0586		0.0518	0.0057		0.070975	0.0133	0.23125	1.9913	48	34	55	14	207		0.321338	0.536506					0.0415	0.0104	0.0586	0.0073	0.1629	0.0107	0.1586	0	39.8386	17.4155	0	autumn	middle	0.054261	0	0
9	TARA_A100000538	TARA_022	SRF	[20-180µm]	39.814	17.4138	TARA_022_SRF_20-180	TARA_022	ERS488453	ERR1712140|ERR1726613|ERR562675|ERR1711894|ERR1726546	SAMEA2657062	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000538	2009-11-16T13:40	-1728	17.298758	37.839767	27.623392	0.16128	0.0856	5	9.740976	221.54775		0.001388038	0.001792418	0.026501298	0.063348597	4.11862	654.913	79.8147506713867	0.000316625737468712	0.004	0.0586		0.0518	0.0057		0.070975	0.0133	0.23125	1.9913	37	13	59	13	707		0.321338	0.536506					0.0415	0.0104	0.0586	0.0073	0.1629	0.0107	0.1586	0	39.814	17.4138	0	autumn	middle	0.054261	0	0
11	TARA_A100000546	TARA_023	SRF	[180-2000µm]	42.1916	17.7175	TARA_023_SRF_180-2000	TARA_023	ERS477996	ERR550399|ERR318600|ERR562571|ERR550534|ERR538185	SAMEA2611383	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000546	2009-11-18T10:17	-1184	17.211742	38.22805	27.9429	1.5546	0.0338	5	10.129158	221.782083		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.009125	0.012	0.040875	1.372375	16	58	3	37	115		0.309499	0.542748	3734.949352	6.583423185	14477.2	0.744611238									42.1916	17.7175	0	autumn	middle	-0.354776	0.078584	3.583333
12	TARA_A100000548	TARA_023	SRF	[20-180µm]	42.1735	17.7175	TARA_023_SRF_20-180	TARA_023	ERS478008	ERR550532|ERR318594|ERR562472|ERR538171|ERR318583	SAMEA2611385	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000548	2009-11-18T12:56	-1183	17.211742	38.22805	27.9429	0.18256	0.0338	5	10.129158	221.782083		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.009125	0.012	0.040875	1.372375	12	58	58	43	160		0.309499	0.542748	3734.949352	6.583423185	14477.2	0.744611238									42.1735	17.7175	0	autumn	middle	-0.354776	0.078584	3.583333
13	TARA_A100000551	TARA_023	SRF	[0.8-5µm]	42.2038	17.715	TARA_023_SRF_0.8-5	TARA_023	ERS477988	ERR538173|ERR562431|ERR318582|ERR550521	SAMEA2591093	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000551	2009-11-18T08:41	-1184	17.211742	38.22805	27.9429	0.19031	0.0338	5	10.129158	221.782083		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.009125	0.012	0.040875	1.372375	16	58	3	37	115		0.309499	0.542748	3734.949352	6.583423185	14477.2	0.744611238									42.2038	17.715	0	autumn	middle	-0.354776	0.078584	3.583333
15	TARA_A100000559	TARA_023	DCM	[0.8-5µm]	42.1735	17.7252	TARA_023_DCM_0.8-5	TARA_023	ERS478003	ERR550514|ERR318603|ERR318605|ERR538175|ERR562436	SAMEA2591103	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000559	2009-11-18T13:50	-1183	15.180558	38.47375	28.613475	0.4886	0.0656	55	0.054743	224.264417		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.013	0.012	0.05	1.0505	12	58	58	43	160		0.309499	0.542748													42.1735	17.7252	0	autumn	middle	-0.354776	0.078584	3.583333
16	TARA_A100000561	TARA_023	DCM	[20-180µm]	42.1694	17.7179	TARA_023_DCM_20-180	TARA_023	ERS478010	ERR550539|ERR318593|ERR538177|ERR550529|ERR318595	SAMEA2611379	SEQ-(500mL-or-15min)_N20-180	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	20	180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000561	2009-11-18T13:52	-1183	15.454558	38.42905	28.51615	0.56525	0.0703	50	0.093238	225.850667		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.013	0.012	0.05	1.0505	12	58	58	43	160		0.309499	0.542748													42.1694	17.7179	0	autumn	middle	-0.354776	0.078584	3.583333
